time,data_queue_size,fuel_valve_setpoint,fuel_valve_internal_pos,fuel_valve_encoder_pos,fuel_valve_velocity,fuel_valve_acceleration,fuel_valve_nsec_per_pulse,lox_valve_setpoint,lox_valve_internal_pos,lox_valve_encoder_pos,lox_valve_velocity,lox_valve_acceleration,lox_valve_nsec_per_pulse,pt102,pt103,pto401,pt202,pt203,ptf401,ptc401,ptc402
0.05297286,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99079895,73.97999573,73.04399872,10.80213451,198.36424255,7002955,668.19531250,615.50781250,293.86132812,787.19531250,504.71484375,758.15545654,12.87890625,12.39062500
0.05397850,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99099731,73.97999573,73.04399872,11.00049877,198.36424255,7002955,661.84765625,615.99609375,293.12890625,792.56640625,507.64453125,753.76092529,11.65820312,9.46093750
0.05508536,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99119568,73.97999573,73.04399872,11.19886303,198.36424255,7002955,665.26562500,612.57812500,293.61718750,796.96093750,505.69140625,748.38983154,9.94921875,10.43750000
0.05598166,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99140167,73.97999573,73.04399872,11.40485668,205.99363708,7002955,658.91796875,610.62500000,294.83789062,792.07812500,504.71484375,755.95819092,10.68164062,10.19335937
0.05697158,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99160004,73.97999573,73.04399872,11.60322094,198.36424255,7002955,659.40625000,609.64843750,294.34960937,793.05468750,501.29687500,747.90155029,14.09960937,12.14648437
0.05796038,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99179840,73.97999573,73.04399872,11.80158520,198.36424255,7002955,664.77734375,610.62500000,294.34960937,788.17187500,506.17968750,740.33319092,13.12304687,13.85546875
0.05894670,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99199677,73.97999573,73.04399872,11.99994946,198.36424255,7002955,661.84765625,617.94921875,294.34960937,791.10156250,502.27343750,747.90155029,9.94921875,11.90234375
0.05998154,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99219513,73.97999573,73.04399872,12.19831371,198.36424255,7002955,665.75390625,610.13671875,295.08203125,791.58984375,499.34375000,744.97186279,10.92578125,9.70507812
0.06101942,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99240112,73.97999573,73.04399872,12.40430737,205.99363708,7002955,665.26562500,605.74218750,295.32617187,787.19531250,501.29687500,747.90155029,11.65820312,9.46093750
0.06199221,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99259949,73.97999573,73.04399872,12.60267162,198.36424255,7002955,659.40625000,609.16015625,294.83789062,784.75390625,503.25000000,749.61053467,9.46093750,11.16992187
0.06295171,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99279785,73.97999573,73.04399872,12.80103588,198.36424255,7002955,656.47656250,617.46093750,293.86132812,784.75390625,506.66796875,743.75115967,12.14648437,12.39062500
0.06395075,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99299622,73.97999573,73.04399872,12.99940014,198.36424255,7002955,662.82421875,616.97265625,294.34960937,790.12500000,508.62109375,753.02850342,11.65820312,12.14648437
0.06494520,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99320221,73.97999573,73.04399872,13.20539379,205.99363708,7002955,656.47656250,609.64843750,294.83789062,795.49609375,504.22656250,748.14569092,10.19335937,11.16992187
0.06595321,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99340057,73.97999573,73.04399872,13.40375805,198.36424255,7002955,660.87109375,615.50781250,294.83789062,794.51953125,505.69140625,754.00506592,12.39062500,11.16992187
0.06715849,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99359894,73.97999573,73.04399872,13.60212231,198.36424255,7002955,656.47656250,614.04296875,294.34960937,792.56640625,502.27343750,746.92498779,11.65820312,9.94921875
0.06799270,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99379730,73.97999573,73.04399872,13.80048656,198.36424255,7002955,663.80078125,614.53125000,296.05859375,787.19531250,505.20312500,743.26287842,9.21679687,10.68164062
0.06894885,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99399567,73.97999573,73.04399872,13.99885082,198.36424255,7002955,655.50000000,616.48437500,293.86132812,785.73046875,504.71484375,754.00506592,12.14648437,12.39062500
0.06994660,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99420166,73.97999573,73.04399872,14.20484447,205.99363708,7002955,656.47656250,610.13671875,294.83789062,784.75390625,502.27343750,740.82147217,11.16992187,12.14648437
0.07094851,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99440002,73.97999573,73.04399872,14.40320873,198.36424255,7002955,661.84765625,616.48437500,294.83789062,792.56640625,503.25000000,735.93865967,12.39062500,13.12304687
0.07197259,0,81.00000000,81.00000000,79.00199890,0.00348687,0.00000000,522108,73.99459839,73.97999573,73.04399872,14.60157299,198.36424255,7002955,661.35937500,616.48437500,295.81445312,789.63671875,501.29687500,749.12225342,9.21679687,10.43750000
